"PassengerId","Ticket","Fare"
"1","A/5 21171","7.25"
"2","PC 17599","71.2833"
"3","STON/O2. 3101282","7925"
"4","113803","53.1"
"5","373450","8.05"
"6","330877","8.4583"
"7","17463","51.8625"
"8","349909","21075"
"9","347742",NULL
"10","237736","30.0708"
"11","PP 9549","16.7"
"12","113783","26.55"
"13","A/5. 2151","8.05"
"14","347082","31275"
"15","350406","7.8542"
"16","248706",NULL
"17","382652","29125"
"18","244373","13"
"19","345763","18"
"20","2649","7225"
"21","239865",NULL
"22","248698","13"
"23","330923","8.0292"
"24","113788","35.5"
"25","349909",NULL
"26","347077","31.3875"
"27","2631","7225"
"28","19950","10000"
"29","330959",NULL
"30","349216","7.8958"
